X--Trace 1::[transient: TIME],Y--Trace 1::[I_col: I(Q1:C)],,X--Trace 2::[transient: TIME],Y--Trace 2::[I_base: I(Q1:B)]
0.08800008283999881,0.012488698010857951,,0.08800008283999881,0.0000884970849197764
0.08800016475999764,0.012488698606460439,,0.08800016475999764,0.00008849817167632144
0.08800032859999528,0.012488825413396363,,0.08800032859999528,0.00008850030844518868
0.08800065627999056,0.012489278700810354,,0.08800065627999056,0.00008850452352625016
0.08800131163998111,0.012490334437824555,,0.08800131163998111,0.0000885129097522206
0.08800262235996223,0.0124924544073009,,0.08800262235996223,0.00008852967839845187
0.08800524379992447,0.012496689767544193,,0.08800524379992447,0.00008856321174061659
0.08801048667984895,0.012505158886194155,,0.08801048667984895,0.00008863025774454145
0.08802097243969792,0.012522078900267207,,0.08802097243969792,0.00008876427051523492
0.08804194395939584,0.012555856213514544,,0.08804194395939584,0.00008903197639271365
0.08808388699879169,0.012623151544387637,,0.08808388699879169,0.00008956611401130955
0.08816777307758338,0.01275672094854571,,0.08816777307758338,0.00009062930462123342
0.08826777307758338,0.012914182195274643,,0.08826777307758338,0.00009188790197133543
0.08836777307758338,0.01306974955885306,,0.08836777307758338,0.00009313694773770849
0.08846777307758338,0.013223446593839606,,0.08846777307758338,0.00009437649541356612
0.088500001,0.013272586210378948,,0.088500001,0.00009477395887648331
0.08850000109999999,0.013272586363805149,,0.08850000109999999,0.00009477395984960935
0.08850000129999999,0.01327258666994038,,0.08850000129999999,0.00009477396127425033
0.0885000017,0.013272587279329314,,0.0885000017,0.00009477396100367933
0.088500002,0.013272587734694665,,0.088500002,0.0000947739580716261
0.08850000208,0.013272587855882001,,0.08850000208,0.000094773956977876
0.08850000224,0.013272588098067025,,0.08850000224,0.0000947739547904902
0.08850000256,0.013272588581236849,,0.08850000256,0.000094773950416131
0.0885000032,0.013272589542480681,,0.0885000032,0.00009477394166893771
0.08850000447999999,0.013272591444070446,,0.08850000447999999,0.0000947739241804647
0.08850000704,0.0132725951639227,,0.08850000704,0.00009477388922679297
0.08850001215999999,0.013272602276174507,,0.08850001215999999,0.0000947738194109369
0.08850002239999999,0.01327261523622939,,0.08850002239999999,0.00009477368013247826
0.08850004287999998,0.013272636439440945,,0.08850004287999998,0.00009477340289338172
0.08850008383999995,0.013272662391503055,,0.08850008383999995,0.00009477285301238991
0.0885001657599999,0.013272663751794056,,0.0885001657599999,0.00009477176737311682
0.08850032959999982,0.013272543437682483,,0.08850032959999982,0.00009476963048080972
0.08850065727999964,0.013272104077709733,,0.08850065727999964,0.0000947654122920405
0.0885013126399993,0.013271072201465697,,0.0885013126399993,0.00009475701905061842
0.08850262335999862,0.013268996907086897,,0.08850262335999862,0.00009474023722234461
0.08850524479999723,0.013264851260513608,,0.08850524479999723,0.00009470667790691482
0.08851048767999448,0.013256558120164692,,0.08851048767999448,0.00009463958267522144
0.08852097343998895,0.013239979618830874,,0.08852097343998895,0.00009450548152551682
0.08854194495997791,0.01320684087877965,,0.08854194495997791,0.00009423763972099836
0.08858388799995584,0.013140648469346273,,0.08858388799995584,0.00009370339190065602
0.0886677740799117,0.013008593500075744,,0.0886677740799117,0.00009264061983213459
0.0887677740799117,0.012851755502190611,,0.0887677740799117,0.0000913836130190633
